2021-01-02,1,Evermore,Taylor Swift,1,1,2
2021-01-02,2,McCartney III,Paul McCartney,0,2,1
2021-01-02,3,Music To Be Murdered By,Eminem,199,1,48
2021-01-02,4,Christmas,Michael Buble,4,1,90
2021-01-02,5,Merry Christmas,Mariah Carey,10,3,99
2021-01-02,6,The Christmas Song,Nat King Cole,8,6,56
2021-01-02,7,My Gift,Carrie Underwood,6,5,13
2021-01-02,8,Folklore,Taylor Swift,3,1,22
2021-01-02,9,The Best Of Pentatonix Christmas,Pentatonix,13,7,18
2021-01-02,10,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio,12,10,88
